ID,PedidoID,Tipo_Venda,Produto ID,Produto,Quantidade,Preço Unitário,Total,Margem do Pedido,Custo Unitário,Custo Total,Quantidade Disponível Itens
f2a0ad55,2675,Pedido,9bd7f277,15 - Conserto de câmara de ar,1,15,15,"100,00%",0,0,99
c86fe836,2676,Pedido,feb26e0a,"Câmara Aro 26"" X 1,90 - Marcas Diversas",1,25,25,"66,00%","8,61","8,61",7
7984f86e,2677,Pedido,9bd7f277,15 - Conserto de câmara de ar,1,10,10,"100,00%",0,0,99
342fb62b,2678,Pedido,17900c82,"24""/26"" Serviço de montagem de bicicleta",1,140,140,"100,00%",,0,1
ac509834,2679,Pedido,208,Pedivela esquerdo ferro revestido cinza,1,30,30,"51,00%","14,7","14,7",7
b230082d,2679,Pedido,30e466f4,Serviço de instalação de pedivela,1,15,15,"100,00%",,0,99
72009e5e,2680,Pedido,f7eab828,Camara 29'' bico longo Paco,1,35,35,"61,00%","13,55","13,55",11
8296755a,2680,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,5,5,"100,00%",0,0,5
0a793da1,2681,Pedido,db176db2,Serviço de Ajustes em Geral,1,5,5,"100,00%",,0,1
3e4ccd9a,2682,Pedido,a30b97ee,Pedal Plataf. Alumínio polido Inglês - par,1,40,40,"53,00%","18,68","18,68",10
b3c0ab95,2682,Pedido,57728a5b,Serviço de instalação de pedal - par,1,10,10,"100,00%",0,0,5
e181ad3d,2683,Pedido,b6c4157d,"Câmara Aro 20"" Veloforce",1,25,25,"64,00%","8,99","8,99",11
079872ae,2683,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,5,5,"100,00%",0,0,5
5faa06f1,2684,Pedido,232,Pneu Kenda aro 26x1.95,1,60,60,"52,00%","28,61","28,61",15
3393003c,2684,Pedido,feb26e0a,"Câmara Aro 26"" X 1,90 - Marcas Diversas",1,30,30,"64,00%","8,98","8,98",18
17dfa1f0,2684,Pedido,511f2753,Serviço de instalação de pneu,1,10,10,"100,00%",,0,5
a8512682,2685,Pedido,32,Sapatas de freio pino baixa par - balacas sem blister,1,15,15,"95,00%","0,82","0,82",47
ed9e40a3,2685,Pedido,f1097bf5,Cabo de freio Ceci importado,2,5,10,"86,00%","0,71","1,42",127
6985acd4,2685,Pedido,f8bbd447,Conduíte Metro,1,10,10,"50,00%",5,5,20
a4344f29,2685,Pedido,185,Manete nylon par,1,25,25,"77,00%","5,65","5,65",13
77b77f99,2685,Pedido,249,Punho comum cores - par,1,15,15,"74,00%","3,89","3,89",12
603c6585,2685,Pedido,51769269,30 - Regulagem de freios,1,30,30,"100,00%",,0,99
98ac7c05,2685,Pedido,b869b837,Serviço de Lubrificação de corrente,1,15,15,"100,00%",,0,1
4094f1c0,2685,Pedido,db176db2,Serviço de Ajustes em Geral,1,30,30,"100,00%",,0,1
0b8d72da,2686,Pedido,207,Pedivela esquerdo ferro revestido preto,1,35,35,"82,00%","6,29","6,29",3
99e1c134,2686,Pedido,30e466f4,Serviço de instalação de pedivela,1,5,5,"100,00%",,0,99
b2380074,2687,Pedido,ebc831bf,Pedana Grossa Aço par,1,38,38,"50,00%",20,20,3
f7f5c31d,2688,Pedido,a045adf8,Serviço de centragem de roda,1,30,30,"100,00%",,0,5
c4c4f861,2688,Pedido,a045adf8,Serviço de centragem de roda,1,15,15,"100,00%",,0,5
28842244,2689,Pedido,f20bf7ab,Capacete infantil importado c/joelheira e cotoveleira azul,1,60,60,"50,00%",30,30,1
67c9eaed,2690,Pedido,58,Bomba 60cm - Alumínio,1,45,45,"84,00%","7,9","7,9",3
c7840350,2691,Pedido,f1097bf5,Cabo de freio Ceci importado,2,5,10,"86,00%","0,71","1,42",125
aab7de87,2691,Pedido,f8bbd447,Conduíte Metro,1,10,10,"50,00%",5,5,20
fd48d564,2691,Pedido,185,Manete nylon par,1,30,30,"77,00%","5,65","5,65",12
fa53dfdc,2692,Pedido,feb26e0a,"Câmara Aro 26"" X 1,90 - Marcas Diversas",1,25,25,"64,00%","8,98","8,98",17
dd0a4d41,2692,Pedido,381e3e3f,Serviço de instalação de câmara de ar,1,10,10,"100,00%",0,0,5
327a2ebe,2693,Pedido,207,Pedivela esquerdo ferro revestido preto,1,30,30,"82,00%","6,29","6,29",2
a400d10d,2693,Pedido,30e466f4,Serviço de instalação de pedivela,1,15,15,"100,00%",,0,99
cfec3253,2694,Pedido,a30b97ee,Pedal Plataf. Alumínio polido Inglês - par,1,40,40,"53,00%","18,68","18,68",9
c16f0758,2694,Pedido,76e4eadf,Pedana fina alumínio preta par,1,15,15,"60,00%","6,47","6,47",5
a89d0377,2695,Pedido,178,Kit espelho Elleven - par,1,40,40,"57,00%","23,6","23,6",7
438164a7,2695,Pedido,131,Eixo traseiro com rolamento,3,30,90,"54,00%","15,99","47,97",8
059c8531,2696,Pedido,f1097bf5,Cabo de freio Ceci importado,2,5,10,"86,00%","0,71","1,42",119
69794f22,2696,Pedido,09bcf6ae,Sapata com rosca par - Balaca orbital sem blister,2,15,30,"86,00%","2,05","4,1",16
064ab5f2,2696,Pedido,4,Alavanca cambio comum plástico par,1,30,30,"68,00%","9,53","9,53",8
d439487f,2696,Pedido,f8bbd447,Conduíte Metro,2,10,20,"50,00%",5,10,20
0d6946ff,2696,Pedido,51769269,30 - Regulagem de freios,1,20,20,"100,00%",,0,99
0103396c,2696,Pedido,dd98c533,30 - Regulagem de câmbios,1,20,20,"100,00%",0,0,99
cd2c56dd,2696,Pedido,ba9e6c41,Roda livre 7V - Catraca,1,50,50,"74,00%","13,05","13,05",9
bb24f64d,2696,Pedido,111,Corrente fina 116L Tec,1,30,30,"62,00%","11,32","11,32",7
bd19b7b8,2696,Pedido,7b2f08f8,Serviço de instalação de corrente fina c/marcha,1,20,20,"100,00%",,0,5
c6bf2eba,2696,Pedido,249,Punho comum cores - par,1,15,15,"74,00%","3,89","3,89",9
5b05570f,2696,Pedido,0aa656a8,Pezinho central aro 29 preto,1,45,45,"65,00%","15,87","15,87",8
5a394bed,2696,Pedido,c2d06765,Banco 2 molas Elleven Preto com Cinza - Selim,1,60,60,"55,00%","27,14","27,14",7
cd2c25d4,2697,Pedido,184,Manete alumínio preto par,1,30,30,"58,00%","14,57","14,57",9
10c75326,2697,Pedido,249,Punho comum cores - par,1,15,15,"74,00%","3,89","3,89",11
1c8a4e7f,2697,Pedido,09bcf6ae,Sapata com rosca par - Balaca orbital sem blister,2,15,30,"86,00%","2,05","4,1",18
cf5f789d,2697,Pedido,f1097bf5,Cabo de freio Ceci importado,2,5,10,"86,00%","0,71","1,42",123
785f565d,2697,Pedido,f8bbd447,Conduíte Metro,1,10,10,"50,00%",5,5,20
b7d09455,2697,Pedido,b6c4157d,"Câmara Aro 20"" Veloforce",1,25,25,"64,00%","8,99","8,99",10
b98df45d,2697,Pedido,51769269,30 - Regulagem de freios,1,30,30,"100,00%",,0,99
a986f3c0,2698,Pedido,f69241a6,Pinha 24 dentes com rosca para Torpedo,1,30,30,"57,00%","10,73","10,73",1
d4aedf29,2699,Pedido,a045adf8,Serviço de centragem de roda,1,30,30,"100,00%",,0,5
1b0cc326,2699,Pedido,e93e5730,Castanha de selim preta,1,15,15,"67,00%",5,5,6
bc634bb9,2700,Pedido,b6c4157d,"Câmara Aro 20"" Veloforce",1,15,15,"64,00%","8,99","8,99",9
9bf9f63d,2701,Pedido,51769269,30 - Regulagem de freios,1,30,30,"100,00%",,0,99
